PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
T.J. McConnell,PHI,26,76,50,26,22.4,6.3,2.8,5.5,49.9,0.4,0.8,43.5,0.4,0.5,79.5,0.5,2.5,3,4,1.5,1.2,0.2,1.6,18.5,2,1,-0.9
TJ Leaf,IND,21,53,31,22,8.7,2.9,1.2,2.6,47.1,0.3,0.8,42.9,0.2,0.3,62.5,0.5,1,1.5,0.2,0.2,0.1,0.1,0.8,5.4,0,0,-1.5
TJ Warren,PHX,24,65,18,47,33,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1,0.6,2.3,31.2,6,0,-6.7
Taj Gibson,MIN,32,82,47,35,33.2,12.2,5.2,9,57.7,0.1,0.4,20,1.7,2.3,76.8,2.4,4.8,7.1,1.2,1.1,0.8,0.7,2.7,25.9,18,0,2.9
Tarik Black,HOU,26,51,40,11,10.5,3.5,1.5,2.5,59.1,0,0.2,9.1,0.6,1.2,46,1.2,2,3.2,0.3,0.7,0.4,0.6,2.1,10.1,2,0,-1.5
Taurean Prince,ATL,24,82,24,58,30,14.1,5.1,11.9,42.6,2.1,5.6,38.5,1.9,2.2,84.4,0.6,4.1,4.7,2.6,2.3,1,0.5,2,26,5,0,-4.5
Terrance Ferguson,OKC,20,61,37,24,12.5,3.1,1.1,2.8,41.4,0.7,2,33.3,0.1,0.2,90,0.3,0.5,0.8,0.3,0.2,0.4,0.2,1.4,6,0,0,-1.4
Terrence Ross,ORL,27,24,10,14,25,8.7,3.2,8,39.8,1.3,3.9,32.3,1.1,1.5,75,0.4,2.6,3,1.6,1.2,1.1,0.5,1.9,18.3,0,0,-2
Terry Rozier,BOS,24,80,54,26,25.9,11.3,4,10,39.5,1.9,5,38.1,1.4,1.9,77.2,0.8,3.9,4.7,2.9,1,1,0.2,1.5,24,1,1,1.5
Thabo Sefolosha,UTA,34,38,16,22,21.2,8.2,3.1,6.3,49.2,0.8,2.2,38.1,1.2,1.4,81.5,0.8,3.5,4.2,0.9,0.8,1.4,0.3,1.6,18.9,2,0,1.5
Thaddeus Young,IND,29,81,48,33,32.2,11.8,5.2,10.7,48.7,0.7,2.2,32,0.7,1.1,59.8,2.3,4,6.3,1.9,1.3,1.7,0.4,2.2,27.2,9,0,2.6
Thomas Bryant,LAL,20,15,7,8,4.8,1.5,0.5,1.4,38.1,0.1,0.7,10,0.3,0.6,55.6,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,3.9,0,0,-0.6
